Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
Uk,2024,Ddos,Government,68.83,60379.0,Unknown,Unpatched Software,Firewall,32.0
Russia,2020,Ransomware,Healthcare,50.99,785179.0,Unknown,Weak Passwords,Vpn,2.0
Russia,2022,Sql Injection,Telecommunications,1.99,652682.0,Insider,Social Engineering,Encryption,46.0
Brazil,2022,Sql Injection,Banking,5.85,52649.0,Nation-State,Unpatched Software,Encryption,57.0
Germany,2024,Man-In-The-Middle,Government,45.75,865871.0,Insider,Weak Passwords,Antivirus,58.0
Russia,2022,Ddos,Retail,93.71,474552.0,Nation-State,Zero-Day,Encryption,20.0
France,2024,Sql Injection,Healthcare,5.7,400840.0,Insider,Social Engineering,Vpn,57.0
Usa,2020,Phishing,Education,60.57,275819.0,Nation-State,Social Engineering,Firewall,69.0
Brazil,2021,Ddos,Retail,89.79,454088.0,Hacker Group,Social Engineering,Vpn,70.0
France,2018,Phishing,Government,30.68,338619.0,Hacker Group,Unpatched Software,Antivirus,68.0
Brazil,2018,Malware,Banking,31.56,940038.0,Hacker Group,Zero-Day,Antivirus,24.0
Usa,2017,Ddos,Government,98.73,17805.0,Nation-State,Weak Passwords,Antivirus,31.0
Japan,2020,Sql Injection,Telecommunications,92.13,244933.0,Nation-State,Social Engineering,Ai-Based Detection,37.0
Usa,2016,Phishing,Banking,71.14,198602.0,Unknown,Zero-Day,Firewall,18.0
India,2023,Ddos,Retail,73.85,504861.0,Unknown,Weak Passwords,Antivirus,65.0
Uk,2016,Malware,Telecommunications,91.24,695618.0,Nation-State,Social Engineering,Antivirus,14.0
China,2022,Man-In-The-Middle,Healthcare,5.4,270732.0,Unknown,Weak Passwords,Firewall,31.0
Uk,2015,Phishing,Retail,77.58,270326.0,Unknown,Social Engineering,Firewall,24.0
Russia,2017,Man-In-The-Middle,Government,80.95,827534.0,Hacker Group,Unpatched Software,Firewall,29.0
Uk,2020,Man-In-The-Middle,Retail,46.07,32499.0,Insider,Zero-Day,Firewall,14.0
Russia,2016,Malware,Telecommunications,52.2,279065.0,Hacker Group,Unpatched Software,Vpn,62.0
Germany,2017,Ransomware,Telecommunications,49.56,119598.0,Insider,Unpatched Software,Encryption,36.0
Germany,2022,Sql Injection,Education,61.78,387500.0,Nation-State,Weak Passwords,Ai-Based Detection,30.0
Brazil,2018,Phishing,Education,66.07,656031.0,Nation-State,Social Engineering,Encryption,36.0
China,2022,Ransomware,Education,85.72,637259.0,Unknown,Zero-Day,Vpn,57.0
Russia,2023,Sql Injection,Education,0.98,623106.0,Nation-State,Weak Passwords,Firewall,43.0
India,2015,Ddos,Education,21.74,513867.0,Unknown,Zero-Day,Firewall,34.0
Australia,2023,Man-In-The-Middle,Healthcare,7.54,710871.0,Insider,Zero-Day,Firewall,55.0
India,2020,Malware,Healthcare,7.08,875225.0,Unknown,Zero-Day,Antivirus,31.0
Germany,2024,Malware,Retail,71.2,989625.0,Unknown,Social Engineering,Firewall,53.0
China,2016,Ddos,Education,89.08,210433.0,Insider,Weak Passwords,Ai-Based Detection,63.0
Usa,2018,Malware,It,26.31,709153.0,Hacker Group,Weak Passwords,Vpn,45.0
France,2020,Ransomware,It,21.11,568832.0,Nation-State,Social Engineering,Firewall,12.0
China,2022,Phishing,Retail,51.76,355545.0,Unknown,Zero-Day,Encryption,68.0
Germany,2019,Phishing,Education,90.91,112635.0,Insider,Zero-Day,Firewall,55.0
Brazil,2015,Sql Injection,Banking,89.39,988268.0,Unknown,Zero-Day,Vpn,44.0
India,2021,Malware,Education,65.87,357399.0,Unknown,Zero-Day,Encryption,2.0
Japan,2018,Man-In-The-Middle,Government,78.16,512258.0,Hacker Group,Weak Passwords,Antivirus,32.0
Australia,2024,Ransomware,Healthcare,24.21,180760.0,Nation-State,Weak Passwords,Encryption,34.0
Usa,2023,Man-In-The-Middle,Retail,81.16,691638.0,Unknown,Zero-Day,Antivirus,17.0
Russia,2019,Ransomware,It,80.18,123757.0,Insider,Social Engineering,Encryption,54.0
Germany,2022,Ddos,Telecommunications,70.0,702285.0,Hacker Group,Zero-Day,Ai-Based Detection,46.0
Australia,2022,Ddos,Education,9.73,907708.0,Unknown,Unpatched Software,Ai-Based Detection,44.0
Australia,2015,Ddos,Healthcare,4.49,713160.0,Unknown,Unpatched Software,Encryption,26.0
Usa,2022,Malware,Banking,46.75,239200.0,Nation-State,Social Engineering,Encryption,8.0
China,2016,Ddos,Healthcare,63.15,500521.0,Nation-State,Weak Passwords,Encryption,27.0
India,2015,Phishing,It,25.47,741259.0,Hacker Group,Unpatched Software,Antivirus,18.0
Japan,2021,Sql Injection,Education,3.97,604843.0,Insider,Unpatched Software,Ai-Based Detection,40.0
Uk,2023,Sql Injection,Education,19.17,697610.0,Insider,Weak Passwords,Encryption,18.0
Germany,2022,Sql Injection,It,58.35,730850.0,Hacker Group,Weak Passwords,Ai-Based Detection,27.0
Australia,2018,Sql Injection,It,65.08,417807.0,Insider,Social Engineering,Firewall,46.0
India,2020,Malware,Healthcare,3.74,58205.0,Hacker Group,Unpatched Software,Encryption,63.0
India,2016,Sql Injection,Healthcare,33.11,830670.0,Unknown,Social Engineering,Antivirus,11.0
Brazil,2024,Ransomware,Government,57.7,691990.0,Insider,Weak Passwords,Antivirus,36.0
Uk,2015,Ransomware,Banking,74.68,498089.0,Insider,Weak Passwords,Encryption,18.0
China,2015,Ransomware,It,86.82,748040.0,Insider,Weak Passwords,Firewall,18.0
Brazil,2018,Ransomware,Healthcare,4.51,909979.0,Nation-State,Social Engineering,Vpn,65.0
Australia,2019,Man-In-The-Middle,Banking,27.0,286038.0,Nation-State,Social Engineering,Encryption,43.0
Russia,2021,Sql Injection,Retail,82.88,479586.0,Unknown,Zero-Day,Ai-Based Detection,8.0
Australia,2020,Phishing,Banking,42.03,454763.0,Unknown,Social Engineering,Firewall,14.0
Uk,2019,Phishing,Telecommunications,33.85,60183.0,Nation-State,Unpatched Software,Ai-Based Detection,17.0
Russia,2018,Phishing,Education,94.6,596801.0,Nation-State,Weak Passwords,Antivirus,70.0
China,2021,Ransomware,It,71.9,698786.0,Hacker Group,Zero-Day,Antivirus,21.0
Japan,2021,Ddos,Telecommunications,94.23,441749.0,Nation-State,Unpatched Software,Ai-Based Detection,55.0
China,2018,Sql Injection,Healthcare,76.4,966102.0,Hacker Group,Social Engineering,Firewall,1.0
India,2017,Malware,Healthcare,66.29,430200.0,Unknown,Zero-Day,Antivirus,48.0
Uk,2023,Phishing,Banking,49.89,638668.0,Nation-State,Social Engineering,Encryption,47.0
Uk,2019,Phishing,Healthcare,81.91,127817.0,Nation-State,Weak Passwords,Antivirus,66.0
Brazil,2017,Man-In-The-Middle,Government,14.54,491794.0,Nation-State,Zero-Day,Encryption,4.0
Germany,2024,Ransomware,Banking,33.44,737958.0,Unknown,Social Engineering,Encryption,54.0
Australia,2017,Ddos,Education,31.74,724207.0,Hacker Group,Weak Passwords,Firewall,54.0
Germany,2018,Sql Injection,Healthcare,78.11,451780.0,Hacker Group,Unpatched Software,Vpn,28.0
India,2016,Man-In-The-Middle,Healthcare,8.25,875227.0,Unknown,Zero-Day,Ai-Based Detection,20.0
Brazil,2018,Malware,Banking,17.52,334945.0,Nation-State,Weak Passwords,Antivirus,33.0
Australia,2023,Ddos,It,81.89,525978.0,Unknown,Weak Passwords,Antivirus,12.0
Uk,2016,Phishing,Retail,37.29,761252.0,Insider,Weak Passwords,Vpn,57.0
China,2022,Phishing,Government,38.87,168075.0,Insider,Social Engineering,Ai-Based Detection,52.0
Japan,2015,Ransomware,Banking,6.57,443408.0,Hacker Group,Weak Passwords,Encryption,71.0
Uk,2018,Ddos,It,17.99,60917.0,Unknown,Zero-Day,Vpn,1.0
Usa,2022,Man-In-The-Middle,Banking,59.54,839892.0,Nation-State,Weak Passwords,Encryption,20.0
Brazil,2021,Ransomware,Government,72.14,673933.0,Unknown,Zero-Day,Antivirus,22.0
Usa,2021,Ransomware,Education,84.64,534283.0,Insider,Social Engineering,Vpn,49.0
Uk,2022,Ddos,Education,32.2,49715.0,Insider,Unpatched Software,Encryption,72.0
China,2022,Sql Injection,Banking,1.16,297461.0,Hacker Group,Zero-Day,Firewall,15.0
Russia,2021,Sql Injection,Healthcare,48.71,861410.0,Unknown,Social Engineering,Vpn,7.0
Germany,2016,Ddos,Telecommunications,14.28,547178.0,Insider,Social Engineering,Firewall,45.0
Uk,2020,Ransomware,Banking,37.38,273660.0,Insider,Weak Passwords,Firewall,6.0
Brazil,2023,Phishing,It,23.01,195113.0,Unknown,Unpatched Software,Encryption,4.0
China,2018,Man-In-The-Middle,Banking,9.77,881294.0,Insider,Unpatched Software,Ai-Based Detection,3.0
Usa,2024,Phishing,Government,58.64,146937.0,Unknown,Social Engineering,Antivirus,10.0
Russia,2016,Phishing,Healthcare,11.29,72191.0,Unknown,Weak Passwords,Antivirus,3.0
Australia,2022,Man-In-The-Middle,Government,90.65,898589.0,Hacker Group,Zero-Day,Ai-Based Detection,36.0
Japan,2024,Malware,Telecommunications,30.66,430306.0,Nation-State,Weak Passwords,Vpn,36.0
Australia,2022,Ddos,It,27.02,835814.0,Insider,Weak Passwords,Encryption,40.0
Russia,2015,Sql Injection,It,56.07,837322.0,Insider,Zero-Day,Ai-Based Detection,25.0
Russia,2019,Phishing,Telecommunications,10.88,299403.0,Unknown,Unpatched Software,Antivirus,23.0
Usa,2024,Man-In-The-Middle,Banking,96.13,482492.0,Unknown,Social Engineering,Encryption,17.0
China,2022,Ddos,It,88.61,777010.0,Hacker Group,Weak Passwords,Vpn,34.0
Germany,2021,Ddos,It,73.5,806210.0,Unknown,Weak Passwords,Antivirus,5.0
China,2024,Malware,Government,1.17,281616.0,Nation-State,Unpatched Software,Encryption,6.0
India,2023,Ransomware,Banking,42.02,827952.0,Unknown,Unpatched Software,Ai-Based Detection,21.0
Usa,2020,Malware,Retail,59.15,179586.0,Hacker Group,Social Engineering,Antivirus,27.0
Uk,2022,Phishing,Retail,26.63,725905.0,Unknown,Zero-Day,Vpn,54.0
Usa,2016,Ddos,Healthcare,30.49,723411.0,Hacker Group,Zero-Day,Antivirus,40.0
India,2024,Malware,Banking,14.01,141437.0,Nation-State,Weak Passwords,Firewall,10.0
Usa,2019,Ddos,Government,49.88,441744.0,Unknown,Weak Passwords,Firewall,40.0
Japan,2016,Malware,Telecommunications,4.84,936738.0,Insider,Weak Passwords,Antivirus,8.0
Usa,2024,Malware,Education,75.51,822636.0,Insider,Social Engineering,Antivirus,63.0
Australia,2018,Malware,Banking,68.32,843891.0,Unknown,Weak Passwords,Antivirus,31.0
Russia,2020,Ddos,Healthcare,6.37,82576.0,Nation-State,Weak Passwords,Vpn,40.0
France,2024,Ransomware,Banking,97.53,759522.0,Unknown,Weak Passwords,Vpn,39.0
Uk,2024,Ransomware,Banking,12.22,860343.0,Hacker Group,Weak Passwords,Antivirus,42.0
Australia,2023,Malware,Government,55.72,14483.0,Nation-State,Weak Passwords,Firewall,36.0
Japan,2023,Malware,Telecommunications,50.99,871255.0,Hacker Group,Social Engineering,Ai-Based Detection,24.0
India,2019,Man-In-The-Middle,Government,98.86,48647.0,Unknown,Zero-Day,Encryption,36.0
Australia,2024,Phishing,Education,74.75,109907.0,Insider,Social Engineering,Vpn,5.0
Brazil,2022,Man-In-The-Middle,Retail,89.11,749386.0,Unknown,Unpatched Software,Firewall,16.0
Russia,2018,Malware,Telecommunications,89.79,900723.0,Insider,Zero-Day,Firewall,32.0
France,2024,Phishing,It,49.75,943151.0,Nation-State,Zero-Day,Vpn,66.0
Usa,2019,Malware,Education,1.05,93580.0,Nation-State,Unpatched Software,Vpn,21.0
China,2019,Malware,Retail,26.66,303469.0,Insider,Social Engineering,Vpn,60.0
Usa,2024,Malware,Telecommunications,0.71,28436.0,Unknown,Unpatched Software,Encryption,66.0
France,2015,Phishing,Healthcare,41.92,383484.0,Unknown,Unpatched Software,Vpn,52.0
Germany,2017,Ddos,Telecommunications,40.05,27446.0,Insider,Social Engineering,Ai-Based Detection,13.0
Japan,2020,Phishing,Healthcare,73.13,39276.0,Nation-State,Unpatched Software,Firewall,29.0
Brazil,2024,Sql Injection,It,33.94,88304.0,Nation-State,Zero-Day,Encryption,41.0
Brazil,2019,Malware,Government,4.95,281096.0,Nation-State,Zero-Day,Ai-Based Detection,2.0
Australia,2018,Sql Injection,Banking,50.23,793612.0,Nation-State,Zero-Day,Firewall,12.0
Uk,2016,Malware,Banking,49.92,848188.0,Nation-State,Unpatched Software,Vpn,12.0
India,2016,Man-In-The-Middle,It,70.24,374767.0,Unknown,Unpatched Software,Antivirus,67.0
France,2019,Ddos,Telecommunications,85.65,835349.0,Nation-State,Unpatched Software,Vpn,8.0
Japan,2020,Sql Injection,Banking,64.25,877560.0,Nation-State,Weak Passwords,Encryption,61.0
Germany,2016,Man-In-The-Middle,Government,58.93,249279.0,Unknown,Weak Passwords,Vpn,58.0
Japan,2017,Ransomware,Government,9.24,126143.0,Unknown,Weak Passwords,Antivirus,35.0
France,2021,Malware,Government,50.84,7910.0,Unknown,Unpatched Software,Firewall,19.0
Brazil,2020,Sql Injection,Education,50.99,732802.0,Nation-State,Weak Passwords,Antivirus,62.0
Usa,2019,Ddos,Telecommunications,12.13,426349.0,Hacker Group,Unpatched Software,Encryption,44.0
China,2019,Man-In-The-Middle,Telecommunications,6.24,739538.0,Nation-State,Zero-Day,Encryption,5.0
Uk,2016,Sql Injection,Retail,17.98,251689.0,Nation-State,Social Engineering,Antivirus,1.0
Germany,2015,Malware,Education,75.2,461291.0,Insider,Social Engineering,Ai-Based Detection,5.0
Uk,2021,Man-In-The-Middle,Banking,71.88,757595.0,Insider,Weak Passwords,Vpn,40.0
Japan,2024,Man-In-The-Middle,Retail,12.62,970866.0,Hacker Group,Weak Passwords,Firewall,13.0
Brazil,2021,Malware,Government,79.56,334916.0,Nation-State,Weak Passwords,Firewall,35.0
Uk,2019,Man-In-The-Middle,It,35.37,384185.0,Insider,Weak Passwords,Firewall,71.0
Australia,2016,Phishing,Education,98.72,6670.0,Nation-State,Zero-Day,Vpn,24.0
France,2016,Man-In-The-Middle,It,62.08,801177.0,Nation-State,Social Engineering,Encryption,11.0
Russia,2016,Ransomware,Banking,28.79,183711.0,Insider,Zero-Day,Encryption,50.0
France,2022,Malware,Retail,83.45,573985.0,Insider,Weak Passwords,Ai-Based Detection,45.0
Japan,2018,Ddos,Healthcare,88.04,675172.0,Nation-State,Weak Passwords,Antivirus,43.0
Germany,2018,Ddos,Government,35.76,716770.0,Insider,Unpatched Software,Encryption,36.0
Australia,2016,Phishing,It,43.19,825866.0,Unknown,Weak Passwords,Firewall,23.0
Usa,2019,Ransomware,Healthcare,92.43,206631.0,Unknown,Zero-Day,Ai-Based Detection,64.0
Germany,2016,Phishing,Banking,40.18,153211.0,Nation-State,Weak Passwords,Encryption,43.0
Japan,2018,Sql Injection,It,48.91,322255.0,Nation-State,Zero-Day,Antivirus,41.0
China,2021,Ransomware,Telecommunications,44.84,16106.0,Nation-State,Weak Passwords,Firewall,29.0
Usa,2021,Man-In-The-Middle,Education,51.43,640851.0,Unknown,Zero-Day,Vpn,11.0
Japan,2022,Phishing,Banking,12.42,570853.0,Unknown,Unpatched Software,Encryption,4.0
Usa,2023,Sql Injection,Banking,98.91,995462.0,Unknown,Unpatched Software,Firewall,33.0
Russia,2015,Ransomware,Telecommunications,64.68,716832.0,Hacker Group,Zero-Day,Vpn,67.0
Usa,2015,Malware,Retail,41.34,677462.0,Unknown,Unpatched Software,Ai-Based Detection,45.0
France,2020,Ddos,It,52.09,362499.0,Insider,Unpatched Software,Encryption,4.0
India,2023,Ddos,Retail,26.01,274512.0,Insider,Weak Passwords,Ai-Based Detection,69.0
Germany,2017,Malware,Government,63.97,590555.0,Nation-State,Zero-Day,Ai-Based Detection,27.0
Australia,2024,Phishing,Telecommunications,42.28,297456.0,Nation-State,Zero-Day,Vpn,20.0
Russia,2022,Ransomware,Government,2.73,465465.0,Nation-State,Unpatched Software,Encryption,60.0
India,2023,Man-In-The-Middle,It,58.9,24387.0,Hacker Group,Unpatched Software,Encryption,29.0
France,2020,Man-In-The-Middle,Education,35.12,871001.0,Nation-State,Zero-Day,Antivirus,39.0
Uk,2019,Malware,It,8.31,989421.0,Unknown,Zero-Day,Firewall,46.0
France,2015,Phishing,Retail,84.86,190100.0,Nation-State,Zero-Day,Ai-Based Detection,69.0
France,2018,Sql Injection,It,63.56,3324.0,Unknown,Zero-Day,Encryption,36.0
Uk,2024,Malware,Retail,33.24,851177.0,Insider,Unpatched Software,Encryption,53.0
Russia,2015,Malware,Healthcare,35.11,477346.0,Unknown,Social Engineering,Firewall,8.0
Usa,2021,Malware,Healthcare,49.73,386686.0,Insider,Zero-Day,Ai-Based Detection,7.0
Russia,2016,Ddos,Banking,87.62,922456.0,Insider,Zero-Day,Vpn,67.0
China,2021,Ddos,Telecommunications,84.09,505132.5,Insider,Social Engineering,Vpn,59.0
Germany,2024,Phishing,Telecommunications,36.34,505132.5,Insider,Weak Passwords,Antivirus,8.0
India,2018,Malware,Education,41.28,197323.0,Hacker Group,Social Engineering,Antivirus,47.0
India,2016,Malware,It,34.78,294587.0,Unknown,Social Engineering,Ai-Based Detection,43.0
Uk,2022,Man-In-The-Middle,Telecommunications,88.71,191263.0,Hacker Group,Unpatched Software,Encryption,68.0
France,2017,Ransomware,Healthcare,88.79,332214.0,Nation-State,Social Engineering,Antivirus,36.0
China,2024,Man-In-The-Middle,Government,56.26,196531.0,Hacker Group,Zero-Day,Firewall,45.0
Brazil,2021,Sql Injection,Banking,4.34,258021.0,Hacker Group,Unpatched Software,Encryption,46.0
Russia,2021,Ransomware,Healthcare,85.65,920121.0,Unknown,Social Engineering,Antivirus,21.0
Australia,2021,Sql Injection,It,4.52,505132.5,Unknown,Zero-Day,Ai-Based Detection,16.0
France,2017,Ransomware,It,27.19,760590.0,Nation-State,Weak Passwords,Encryption,9.0
Uk,2023,Man-In-The-Middle,Government,45.16,569044.0,Hacker Group,Social Engineering,Antivirus,27.0
France,2021,Sql Injection,Government,2.3,841324.0,Unknown,Weak Passwords,Encryption,8.0
Japan,2022,Malware,Government,71.54,668679.0,Unknown,Social Engineering,Vpn,27.0
India,2022,Sql Injection,Banking,27.86,310150.0,Unknown,Unpatched Software,Ai-Based Detection,21.0
Germany,2016,Man-In-The-Middle,It,13.21,549414.0,Unknown,Social Engineering,Encryption,70.0
Australia,2015,Ddos,Government,11.89,731839.0,Unknown,Zero-Day,Ai-Based Detection,14.0
Brazil,2023,Sql Injection,Healthcare,76.58,626352.0,Hacker Group,Social Engineering,Encryption,33.0
India,2022,Ddos,Banking,92.23,626017.0,Unknown,Unpatched Software,Antivirus,1.0
Australia,2019,Ddos,Telecommunications,70.7,172782.0,Unknown,Social Engineering,Vpn,2.0
France,2021,Ransomware,Government,2.39,665023.0,Insider,Unpatched Software,Firewall,49.0
Germany,2018,Man-In-The-Middle,Banking,89.87,15909.0,Nation-State,Zero-Day,Antivirus,19.0
Uk,2023,Man-In-The-Middle,Banking,24.28,998547.0,Unknown,Weak Passwords,Antivirus,46.0
Australia,2019,Ddos,It,58.3,76358.0,Nation-State,Weak Passwords,Encryption,58.0
Germany,2024,Man-In-The-Middle,It,84.19,89704.0,Hacker Group,Social Engineering,Antivirus,26.0
Russia,2024,Man-In-The-Middle,Education,72.02,191361.0,Hacker Group,Unpatched Software,Ai-Based Detection,11.0
Germany,2023,Man-In-The-Middle,Government,0.61,200862.0,Insider,Social Engineering,Encryption,13.0
Usa,2017,Malware,Government,89.49,505132.5,Hacker Group,Social Engineering,Ai-Based Detection,41.0
Japan,2018,Phishing,Education,34.06,344674.0,Unknown,Weak Passwords,Antivirus,19.0
Usa,2020,Phishing,Government,37.66,449424.0,Unknown,Zero-Day,Firewall,3.0
Germany,2020,Phishing,Healthcare,69.2,162807.0,Hacker Group,Unpatched Software,Encryption,4.0
India,2024,Ddos,Banking,47.1,21292.0,Insider,Social Engineering,Antivirus,10.0
Australia,2023,Malware,Banking,25.7,993215.0,Nation-State,Zero-Day,Ai-Based Detection,56.0
Australia,2017,Ddos,Banking,16.58,744201.0,Hacker Group,Zero-Day,Vpn,7.0
Japan,2017,Phishing,Banking,61.33,762300.0,Nation-State,Social Engineering,Vpn,20.0
France,2018,Ddos,Government,14.1,764003.0,Insider,Zero-Day,Ai-Based Detection,43.0
China,2019,Phishing,Banking,33.88,761910.0,Hacker Group,Zero-Day,Antivirus,27.0
France,2023,Ransomware,It,87.45,296050.0,Insider,Weak Passwords,Vpn,30.0
France,2020,Malware,Government,27.43,82853.0,Unknown,Social Engineering,Encryption,67.0
Japan,2022,Sql Injection,Banking,34.03,700439.0,Insider,Zero-Day,Encryption,41.0
Russia,2022,Sql Injection,Retail,6.61,505132.5,Insider,Unpatched Software,Vpn,57.0
China,2020,Phishing,Retail,17.99,36963.0,Insider,Zero-Day,Vpn,54.0
France,2021,Ransomware,It,99.77,533151.0,Nation-State,Zero-Day,Antivirus,43.0
Germany,2018,Man-In-The-Middle,Healthcare,61.93,62185.0,Nation-State,Social Engineering,Encryption,32.0
Usa,2016,Ddos,Education,48.83,231299.0,Unknown,Unpatched Software,Encryption,58.0
Uk,2017,Sql Injection,Retail,47.99,914365.0,Insider,Weak Passwords,Firewall,52.0
Japan,2024,Ransomware,Retail,47.44,696953.0,Nation-State,Zero-Day,Firewall,54.0
Russia,2015,Malware,Education,50.99,977607.0,Hacker Group,Zero-Day,Ai-Based Detection,62.0
Australia,2020,Ransomware,Retail,71.03,91228.0,Hacker Group,Social Engineering,Antivirus,22.0
China,2016,Phishing,Government,59.95,417253.0,Insider,Weak Passwords,Vpn,16.0
France,2021,Man-In-The-Middle,Government,44.03,60431.0,Hacker Group,Weak Passwords,Ai-Based Detection,59.0
Japan,2016,Man-In-The-Middle,Healthcare,44.69,567209.0,Hacker Group,Social Engineering,Antivirus,1.0
France,2015,Sql Injection,It,70.18,596168.0,Nation-State,Zero-Day,Encryption,15.0
Japan,2024,Malware,Banking,49.88,437357.0,Unknown,Weak Passwords,Ai-Based Detection,36.0
Australia,2016,Ransomware,It,43.88,588421.0,Nation-State,Unpatched Software,Encryption,72.0
Uk,2017,Phishing,Banking,57.17,477292.0,Nation-State,Social Engineering,Ai-Based Detection,18.0
Germany,2018,Phishing,Education,16.76,163839.0,Insider,Social Engineering,Encryption,19.0
Uk,2024,Sql Injection,It,65.06,922676.0,Unknown,Zero-Day,Vpn,6.0
Uk,2023,Malware,Education,34.66,941720.0,Unknown,Zero-Day,Antivirus,71.0
Germany,2019,Phishing,Government,49.71,647613.0,Unknown,Social Engineering,Antivirus,36.0
